guest_distance_km,booking_lead_time,room_price_vs_avg_income,relation_to_host,cancellation_flag
478.7358779738473,70.62496064053752,0.354544970474881,Friend,0
298.8929460431175,112.73776507061827,0.3834016938228879,Friend,1
276.4567168741907,84.66679864576152,0.09866725967644242,Friend,1
276.4604588663601,130.79848209459374,0.11614251226651003,Family,0
929.9428824461302,75.3204705756902,0.12430744816382257,Family,0
573.3412461928444,64.53629688035498,0.15974823505765745,Friend,0
226.2156003481798,105.02486045085837,0.07120596331064148,Friend,1
493.96289468624263,58.635709827143174,0.2401902771065008,Family,0
399.7920528129294,87.34922586921185,0.3562206900811872,Friend,0
43.18298869811708,42.402635758172956,0.1904099206418126,Friend,0
134.24845653754124,69.43136829690113,0.14524326902126058,Friend,1
421.2331274696327,132.28949788092996,0.17506391700110796,Family,1
873.0353734967057,110.26227427908084,0.6592402402875295,Friend,0
278.3704369918292,72.85695491617105,0.347446472695539,Friend,0
211.60548781086072,101.18235242676697,0.19501524973543982,Family,1
362.8015082944331,100.80350194564392,0.16143489749643794,Friend,0
201.05689614361953,116.61105455042811,0.10607678725657405,Friend,1
263.5482762278377,44.30693183016432,0.12147317211859235,Family,0
329.8604957880529,1.0,0.6718368669968076,Family,1
128.0274609687767,87.32831820645403,0.5842078886796996,Family,0
594.0120188426279,74.23531315009228,0.05320631373057544,Family,0
107.03628925580801,96.18385066024211,0.07901131129329157,Family,0
94.55868876693468,124.58585160242885,0.4701409707502315,Family,0
386.79008357762694,101.97024915791224,0.31529773922320087,Family,1
562.6707615958101,119.4654564232108,0.44509141431554017,Friend,0
379.5671148714141,90.68356662376952,0.5771373807448611,Family,1
304.3558354169202,90.94901626935652,0.21478436028821696,Friend,1
261.47628699669485,118.33501660607553,0.2316534360259662,Family,0
227.9819661373301,116.07226554301134,0.16798238414155928,Family,0
687.5598601038898,124.42674798089004,0.18304531898690657,Friend,0
424.20878787798443,96.51570932217032,0.35354640686006805,Family,0
243.46376273173084,67.76420266344493,0.06050363626445434,Friend,1
187.32130586231145,88.24568518595851,0.4509513707564446,Family,1
517.5237913415748,115.24567345253078,0.291886748722797,Friend,1
676.6883346804435,116.43844773249882,0.5491138585412831,Family,0
636.2419563605778,78.11263561926286,0.10880538672205194,Friend,1
160.2094096422694,72.66230433963878,0.4252504886647714,Family,0
259.69956025752487,105.9878223619764,0.08285298008790379,Friend,1
224.2869935040197,45.868010958921055,0.2984750234267078,Friend,1
287.6576231571977,59.70583904201757,0.3741968848938305,Friend,1
590.2177046726513,94.62507688972066,0.4765876057497165,Family,0
820.4524914414421,77.72493781496844,0.3562854270066142,Friend,1
435.6974280616997,88.42318087757349,0.19897370430111475,Friend,1
192.96892461844345,68.10414664108427,0.1783011627619778,Friend,0
324.1683929777808,89.69138819843201,0.1836207768620843,Family,0
922.5079070147169,94.11704772485277,0.19511826890907147,Family,1
356.3177203107706,104.71579608659775,0.6387325915504956,Friend,0
261.93694051511545,76.15411036488969,0.06088493416082496,Friend,1
